,date,weightclass,fighter,rank
12448,2015-04-06,Heavyweight,Frank Mir,10
12449,2015-04-06,Heavyweight,Roy Nelson,11
12450,2015-04-06,Heavyweight,Antonio Silva,12
12451,2015-04-06,Heavyweight,Matt Mitrione,13
12452,2015-04-06,Heavyweight,Gabriel Gonzaga,14
12453,2015-04-06,Heavyweight,Stefan Struve,15
12613,2015-04-13,Heavyweight,Cain Velasquez,0
12614,2015-04-13,Heavyweight,Fabricio Werdum,1
12615,2015-04-13,Heavyweight,Junior Dos Santos,2
12616,2015-04-13,Heavyweight,Travis Browne,3
12617,2015-04-13,Heavyweight,Stipe Miocic,4
12618,2015-04-13,Heavyweight,Mark Hunt,5
12619,2015-04-13,Heavyweight,Josh Barnett,6
12620,2015-04-13,Heavyweight,Andrei Arlovski,7
12621,2015-04-13,Heavyweight,Alistair Overeem,8
12622,2015-04-13,Heavyweight,Ben Rothwell,9
12623,2015-04-13,Heavyweight,Frank Mir,10
12624,2015-04-13,Heavyweight,Roy Nelson,11
12625,2015-04-13,Heavyweight,Antonio Silva,12
12626,2015-04-13,Heavyweight,Matt Mitrione,13
12627,2015-04-13,Heavyweight,Stefan Struve,14
12628,2015-04-13,Heavyweight,Mirko Cro Cop,15
12788,2015-04-20,Heavyweight,Cain Velasquez,0
12789,2015-04-20,Heavyweight,Fabricio Werdum,1
12790,2015-04-20,Heavyweight,Junior Dos Santos,2
12791,2015-04-20,Heavyweight,Travis Browne,3
12792,2015-04-20,Heavyweight,Stipe Miocic,4
12793,2015-04-20,Heavyweight,Mark Hunt,5
12794,2015-04-20,Heavyweight,Josh Barnett,6
12795,2015-04-20,Heavyweight,Andrei Arlovski,7
12796,2015-04-20,Heavyweight,Alistair Overeem,8
12797,2015-04-20,Heavyweight,Ben Rothwell,9
12798,2015-04-20,Heavyweight,Frank Mir,10
12799,2015-04-20,Heavyweight,Roy Nelson,11
12800,2015-04-20,Heavyweight,Matt Mitrione,12
12801,2015-04-20,Heavyweight,Antonio Silva,12
12802,2015-04-20,Heavyweight,Stefan Struve,14
12803,2015-04-20,Heavyweight,Mirko Cro Cop,15
12963,2015-04-27,Heavyweight,Cain Velasquez,0
12964,2015-04-27,Heavyweight,Fabricio Werdum,1
12965,2015-04-27,Heavyweight,Junior Dos Santos,2
12966,2015-04-27,Heavyweight,Travis Browne,3
12967,2015-04-27,Heavyweight,Stipe Miocic,4
12968,2015-04-27,Heavyweight,Mark Hunt,5
12969,2015-04-27,Heavyweight,Josh Barnett,6
12970,2015-04-27,Heavyweight,Andrei Arlovski,7
12971,2015-04-27,Heavyweight,Alistair Overeem,8
12972,2015-04-27,Heavyweight,Ben Rothwell,9
12973,2015-04-27,Heavyweight,Frank Mir,10
12974,2015-04-27,Heavyweight,Roy Nelson,11
12975,2015-04-27,Heavyweight,Matt Mitrione,12
12976,2015-04-27,Heavyweight,Antonio Silva,13
12977,2015-04-27,Heavyweight,Stefan Struve,14
12978,2015-04-27,Heavyweight,Mirko Cro Cop,15
13138,2015-05-11,Heavyweight,Cain Velasquez,0
13139,2015-05-11,Heavyweight,Fabricio Werdum,1
13140,2015-05-11,Heavyweight,Junior Dos Santos,2
13141,2015-05-11,Heavyweight,Travis Browne,3
13142,2015-05-11,Heavyweight,Stipe Miocic,4
13143,2015-05-11,Heavyweight,Josh Barnett,5
13144,2015-05-11,Heavyweight,Mark Hunt,6
13145,2015-05-11,Heavyweight,Andrei Arlovski,7
13146,2015-05-11,Heavyweight,Alistair Overeem,8
13147,2015-05-11,Heavyweight,Ben Rothwell,9
13148,2015-05-11,Heavyweight,Frank Mir,10
13149,2015-05-11,Heavyweight,Roy Nelson,11
13150,2015-05-11,Heavyweight,Matt Mitrione,12
13151,2015-05-11,Heavyweight,Antonio Silva,13
13152,2015-05-11,Heavyweight,Stefan Struve,14
13153,2015-05-11,Heavyweight,Mirko Cro Cop,15
13313,2015-05-25,Heavyweight,Cain Velasquez,0
13314,2015-05-25,Heavyweight,Fabricio Werdum,1
13315,2015-05-25,Heavyweight,Junior Dos Santos,2
13316,2015-05-25,Heavyweight,Stipe Miocic,3
13317,2015-05-25,Heavyweight,Andrei Arlovski,4
13318,2015-05-25,Heavyweight,Travis Browne,5
13319,2015-05-25,Heavyweight,Josh Barnett,6
13320,2015-05-25,Heavyweight,Mark Hunt,7
13321,2015-05-25,Heavyweight,Alistair Overeem,8
13322,2015-05-25,Heavyweight,Frank Mir,9
13323,2015-05-25,Heavyweight,Ben Rothwell,10
13324,2015-05-25,Heavyweight,Roy Nelson,11
13325,2015-05-25,Heavyweight,Matt Mitrione,12
13326,2015-05-25,Heavyweight,Antonio Silva,13
13327,2015-05-25,Heavyweight,Stefan Struve,14
13328,2015-05-25,Heavyweight,Aleksei Oleinik,15
13488,2015-06-01,Heavyweight,Cain Velasquez,0
13489,2015-06-01,Heavyweight,Fabricio Werdum,1
13490,2015-06-01,Heavyweight,Junior Dos Santos,2
13491,2015-06-01,Heavyweight,Stipe Miocic,3
13492,2015-06-01,Heavyweight,Andrei Arlovski,4
13493,2015-06-01,Heavyweight,Travis Browne,5
13494,2015-06-01,Heavyweight,Josh Barnett,6
13495,2015-06-01,Heavyweight,Mark Hunt,7
13496,2015-06-01,Heavyweight,Alistair Overeem,8
13497,2015-06-01,Heavyweight,Ben Rothwell,9
13498,2015-06-01,Heavyweight,Frank Mir,10
13499,2015-06-01,Heavyweight,Roy Nelson,11
13500,2015-06-01,Heavyweight,Antonio Silva,12
13501,2015-06-01,Heavyweight,Matt Mitrione,13
13502,2015-06-01,Heavyweight,Stefan Struve,14
13503,2015-06-01,Heavyweight,Aleksei Oleinik,15
13663,2015-06-08,Heavyweight,Cain Velasquez,0
13664,2015-06-08,Heavyweight,Fabricio Werdum,1
13665,2015-06-08,Heavyweight,Junior Dos Santos,2
13666,2015-06-08,Heavyweight,Stipe Miocic,3
13667,2015-06-08,Heavyweight,Andrei Arlovski,4
13668,2015-06-08,Heavyweight,Travis Browne,5
13669,2015-06-08,Heavyweight,Josh Barnett,6
13670,2015-06-08,Heavyweight,Mark Hunt,7
13671,2015-06-08,Heavyweight,Ben Rothwell,8
13672,2015-06-08,Heavyweight,Alistair Overeem,9
13673,2015-06-08,Heavyweight,Frank Mir,10
13674,2015-06-08,Heavyweight,Roy Nelson,11
13675,2015-06-08,Heavyweight,Antonio Silva,12
13676,2015-06-08,Heavyweight,Matt Mitrione,13
13677,2015-06-08,Heavyweight,Stefan Struve,14
13678,2015-06-08,Heavyweight,Aleksei Oleinik,15
13838,2015-06-15,Heavyweight,Fabricio Werdum,0
13839,2015-06-15,Heavyweight,Cain Velasquez,1
13840,2015-06-15,Heavyweight,Junior Dos Santos,2
13841,2015-06-15,Heavyweight,Stipe Miocic,3
13842,2015-06-15,Heavyweight,Andrei Arlovski,4
13843,2015-06-15,Heavyweight,Travis Browne,5
13844,2015-06-15,Heavyweight,Josh Barnett,6
13845,2015-06-15,Heavyweight,Mark Hunt,7
13846,2015-06-15,Heavyweight,Ben Rothwell,8
13847,2015-06-15,Heavyweight,Alistair Overeem,9
13848,2015-06-15,Heavyweight,Frank Mir,10
13849,2015-06-15,Heavyweight,Roy Nelson,11
13850,2015-06-15,Heavyweight,Antonio Silva,12
13851,2015-06-15,Heavyweight,Matt Mitrione,13
13852,2015-06-15,Heavyweight,Stefan Struve,14
13853,2015-06-15,Heavyweight,Aleksei Oleinik,15
14013,2015-06-22,Heavyweight,Fabricio Werdum,0
14014,2015-06-22,Heavyweight,Cain Velasquez,1
14015,2015-06-22,Heavyweight,Junior Dos Santos,2
14016,2015-06-22,Heavyweight,Stipe Miocic,3
14017,2015-06-22,Heavyweight,Andrei Arlovski,4
14018,2015-06-22,Heavyweight,Travis Browne,5
14019,2015-06-22,Heavyweight,Josh Barnett,6
14020,2015-06-22,Heavyweight,Ben Rothwell,7
14021,2015-06-22,Heavyweight,Mark Hunt,8
14022,2015-06-22,Heavyweight,Alistair Overeem,9
14023,2015-06-22,Heavyweight,Frank Mir,10
14024,2015-06-22,Heavyweight,Roy Nelson,11
14025,2015-06-22,Heavyweight,Antonio Silva,12
14026,2015-06-22,Heavyweight,Matt Mitrione,13
14027,2015-06-22,Heavyweight,Stefan Struve,14
14028,2015-06-22,Heavyweight,Aleksei Oleinik,15
14188,2015-06-29,Heavyweight,Fabricio Werdum,0
14189,2015-06-29,Heavyweight,Cain Velasquez,1
14190,2015-06-29,Heavyweight,Junior Dos Santos,2
14191,2015-06-29,Heavyweight,Stipe Miocic,3
14192,2015-06-29,Heavyweight,Andrei Arlovski,4
14193,2015-06-29,Heavyweight,Travis Browne,5
14194,2015-06-29,Heavyweight,Josh Barnett,6
14195,2015-06-29,Heavyweight,Mark Hunt,7
14196,2015-06-29,Heavyweight,Ben Rothwell,8
14197,2015-06-29,Heavyweight,Alistair Overeem,9
14198,2015-06-29,Heavyweight,Frank Mir,10
14199,2015-06-29,Heavyweight,Roy Nelson,11
14200,2015-06-29,Heavyweight,Antonio Silva,12
14201,2015-06-29,Heavyweight,Matt Mitrione,13
14202,2015-06-29,Heavyweight,Stefan Struve,14
14203,2015-06-29,Heavyweight,Aleksei Oleinik,15
14363,2015-07-13,Heavyweight,Fabricio Werdum,0
14364,2015-07-13,Heavyweight,Cain Velasquez,1
14365,2015-07-13,Heavyweight,Junior Dos Santos,2
14366,2015-07-13,Heavyweight,Stipe Miocic,3
14367,2015-07-13,Heavyweight,Andrei Arlovski,4
14368,2015-07-13,Heavyweight,Travis Browne,5
14369,2015-07-13,Heavyweight,Josh Barnett,6
14370,2015-07-13,Heavyweight,Ben Rothwell,7
14371,2015-07-13,Heavyweight,Mark Hunt,8
14372,2015-07-13,Heavyweight,Alistair Overeem,9
14373,2015-07-13,Heavyweight,Frank Mir,10
14374,2015-07-13,Heavyweight,Roy Nelson,11
14375,2015-07-13,Heavyweight,Antonio Silva,12
14376,2015-07-13,Heavyweight,Matt Mitrione,13
14377,2015-07-13,Heavyweight,Aleksei Oleinik,14
14378,2015-07-13,Heavyweight,Stefan Struve,15
14538,2015-07-20,Heavyweight,Fabricio Werdum,0
14539,2015-07-20,Heavyweight,Cain Velasquez,1
14540,2015-07-20,Heavyweight,Junior Dos Santos,2
14541,2015-07-20,Heavyweight,Stipe Miocic,3
14542,2015-07-20,Heavyweight,Andrei Arlovski,4
14543,2015-07-20,Heavyweight,Travis Browne,5
14544,2015-07-20,Heavyweight,Josh Barnett,6
14545,2015-07-20,Heavyweight,Ben Rothwell,7
14546,2015-07-20,Heavyweight,Mark Hunt,8
14547,2015-07-20,Heavyweight,Alistair Overeem,9
14548,2015-07-20,Heavyweight,Frank Mir,10
14549,2015-07-20,Heavyweight,Roy Nelson,11
14550,2015-07-20,Heavyweight,Antonio Silva,12
14551,2015-07-20,Heavyweight,Matt Mitrione,13
14552,2015-07-20,Heavyweight,Aleksei Oleinik,14
14553,2015-07-20,Heavyweight,Stefan Struve,15
14713,2015-07-27,Heavyweight,Fabricio Werdum,0
14714,2015-07-27,Heavyweight,Cain Velasquez,1
14715,2015-07-27,Heavyweight,Junior Dos Santos,2
14716,2015-07-27,Heavyweight,Stipe Miocic,3
14717,2015-07-27,Heavyweight,Andrei Arlovski,4
14718,2015-07-27,Heavyweight,Travis Browne,5
14719,2015-07-27,Heavyweight,Josh Barnett,6
14720,2015-07-27,Heavyweight,Ben Rothwell,7
14721,2015-07-27,Heavyweight,Mark Hunt,8
14722,2015-07-27,Heavyweight,Alistair Overeem,9
14723,2015-07-27,Heavyweight,Frank Mir,10
14724,2015-07-27,Heavyweight,Roy Nelson,11
14725,2015-07-27,Heavyweight,Antonio Silva,12
14726,2015-07-27,Heavyweight,Matt Mitrione,13
14727,2015-07-27,Heavyweight,Aleksei Oleinik,14
14728,2015-07-27,Heavyweight,Stefan Struve,15
14888,2015-08-03,Heavyweight,Fabricio Werdum,0
14889,2015-08-03,Heavyweight,Cain Velasquez,1
14890,2015-08-03,Heavyweight,Junior Dos Santos,2
14891,2015-08-03,Heavyweight,Stipe Miocic,3
14892,2015-08-03,Heavyweight,Andrei Arlovski,4
14893,2015-08-03,Heavyweight,Travis Browne,5
14894,2015-08-03,Heavyweight,Josh Barnett,6
14895,2015-08-03,Heavyweight,Ben Rothwell,7
14896,2015-08-03,Heavyweight,Mark Hunt,8
14897,2015-08-03,Heavyweight,Alistair Overeem,9
14898,2015-08-03,Heavyweight,Frank Mir,10
14899,2015-08-03,Heavyweight,Antonio Silva,11
14900,2015-08-03,Heavyweight,Roy Nelson,12
14901,2015-08-03,Heavyweight,Matt Mitrione,13
14902,2015-08-03,Heavyweight,Stefan Struve,14
14903,2015-08-03,Heavyweight,Aleksei Oleinik,15
15063,2015-08-10,Heavyweight,Fabricio Werdum,0
15064,2015-08-10,Heavyweight,Cain Velasquez,1
15065,2015-08-10,Heavyweight,Junior Dos Santos,2
15066,2015-08-10,Heavyweight,Stipe Miocic,3
15067,2015-08-10,Heavyweight,Andrei Arlovski,4
15068,2015-08-10,Heavyweight,Travis Browne,5
15069,2015-08-10,Heavyweight,Ben Rothwell,6
15070,2015-08-10,Heavyweight,Mark Hunt,7
15071,2015-08-10,Heavyweight,Josh Barnett,8
15072,2015-08-10,Heavyweight,Alistair Overeem,9
15073,2015-08-10,Heavyweight,Frank Mir,10
15074,2015-08-10,Heavyweight,Antonio Silva,11
15075,2015-08-10,Heavyweight,Roy Nelson,12
15076,2015-08-10,Heavyweight,Matt Mitrione,13
15077,2015-08-10,Heavyweight,Stefan Struve,14
15078,2015-08-10,Heavyweight,Aleksei Oleinik,15
15238,2015-08-25,Heavyweight,Fabricio Werdum,0
15239,2015-08-25,Heavyweight,Cain Velasquez,1
15240,2015-08-25,Heavyweight,Junior Dos Santos,2
15241,2015-08-25,Heavyweight,Stipe Miocic,3
15242,2015-08-25,Heavyweight,Andrei Arlovski,4
15243,2015-08-25,Heavyweight,Travis Browne,5
15244,2015-08-25,Heavyweight,Ben Rothwell,6
15245,2015-08-25,Heavyweight,Mark Hunt,7
15246,2015-08-25,Heavyweight,Josh Barnett,8
15247,2015-08-25,Heavyweight,Alistair Overeem,9
15248,2015-08-25,Heavyweight,Frank Mir,10
15249,2015-08-25,Heavyweight,Antonio Silva,11
15250,2015-08-25,Heavyweight,Roy Nelson,12
15251,2015-08-25,Heavyweight,Matt Mitrione,13
15252,2015-08-25,Heavyweight,Stefan Struve,14
15253,2015-08-25,Heavyweight,Aleksei Oleinik,15
15413,2015-09-07,Heavyweight,Fabricio Werdum,0
15414,2015-09-07,Heavyweight,Cain Velasquez,1
15415,2015-09-07,Heavyweight,Junior Dos Santos,2
15416,2015-09-07,Heavyweight,Stipe Miocic,3
15417,2015-09-07,Heavyweight,Andrei Arlovski,4
15418,2015-09-07,Heavyweight,Travis Browne,5
15419,2015-09-07,Heavyweight,Ben Rothwell,6
15420,2015-09-07,Heavyweight,Mark Hunt,7
15421,2015-09-07,Heavyweight,Josh Barnett,8
15422,2015-09-07,Heavyweight,Alistair Overeem,9
15423,2015-09-07,Heavyweight,Frank Mir,10
15424,2015-09-07,Heavyweight,Roy Nelson,11
15425,2015-09-07,Heavyweight,Antonio Silva,12
15426,2015-09-07,Heavyweight,Matt Mitrione,13
15427,2015-09-07,Heavyweight,Stefan Struve,14
15428,2015-09-07,Heavyweight,Aleksei Oleinik,15
15588,2015-09-28,Heavyweight,Fabricio Werdum,0
15589,2015-09-28,Heavyweight,Cain Velasquez,1
15590,2015-09-28,Heavyweight,Junior Dos Santos,2
15591,2015-09-28,Heavyweight,Stipe Miocic,3
15592,2015-09-28,Heavyweight,Andrei Arlovski,4
15593,2015-09-28,Heavyweight,Travis Browne,5
15594,2015-09-28,Heavyweight,Josh Barnett,6
15595,2015-09-28,Heavyweight,Ben Rothwell,7
15596,2015-09-28,Heavyweight,Mark Hunt,8
15597,2015-09-28,Heavyweight,Alistair Overeem,9
15598,2015-09-28,Heavyweight,Frank Mir,10
15599,2015-09-28,Heavyweight,Antonio Silva,11
15600,2015-09-28,Heavyweight,Roy Nelson,12
15601,2015-09-28,Heavyweight,Matt Mitrione,13
15602,2015-09-28,Heavyweight,Stefan Struve,14
15603,2015-09-28,Heavyweight,Aleksei Oleinik,15
15763,2015-10-05,Heavyweight,Fabricio Werdum,0
15764,2015-10-05,Heavyweight,Cain Velasquez,1
15765,2015-10-05,Heavyweight,Junior Dos Santos,2
15766,2015-10-05,Heavyweight,Stipe Miocic,3
15767,2015-10-05,Heavyweight,Andrei Arlovski,4
15768,2015-10-05,Heavyweight,Travis Browne,5
15769,2015-10-05,Heavyweight,Josh Barnett,6
15770,2015-10-05,Heavyweight,Ben Rothwell,7
15771,2015-10-05,Heavyweight,Mark Hunt,8
15772,2015-10-05,Heavyweight,Alistair Overeem,9
15773,2015-10-05,Heavyweight,Frank Mir,10
15774,2015-10-05,Heavyweight,Antonio Silva,11
15775,2015-10-05,Heavyweight,Roy Nelson,12
15776,2015-10-05,Heavyweight,Matt Mitrione,13
15777,2015-10-05,Heavyweight,Stefan Struve,14
15778,2015-10-05,Heavyweight,Aleksei Oleinik,15
15939,2015-10-26,Heavyweight,Fabricio Werdum,0
15940,2015-10-26,Heavyweight,Cain Velasquez,1
15941,2015-10-26,Heavyweight,Junior Dos Santos,2
15942,2015-10-26,Heavyweight,Stipe Miocic,3
15943,2015-10-26,Heavyweight,Andrei Arlovski,4
15944,2015-10-26,Heavyweight,Travis Browne,5
15945,2015-10-26,Heavyweight,Josh Barnett,6
15946,2015-10-26,Heavyweight,Ben Rothwell,7
15947,2015-10-26,Heavyweight,Mark Hunt,8
15948,2015-10-26,Heavyweight,Alistair Overeem,9
15949,2015-10-26,Heavyweight,Frank Mir,10
15950,2015-10-26,Heavyweight,Antonio Silva,11
15951,2015-10-26,Heavyweight,Roy Nelson,12
15952,2015-10-26,Heavyweight,Matt Mitrione,13
15953,2015-10-26,Heavyweight,Stefan Struve,14
15954,2015-10-26,Heavyweight,Aleksei Oleinik,15
16114,2015-11-09,Heavyweight,Fabricio Werdum,0
16115,2015-11-09,Heavyweight,Cain Velasquez,1
16116,2015-11-09,Heavyweight,Junior Dos Santos,2
16117,2015-11-09,Heavyweight,Stipe Miocic,3
16118,2015-11-09,Heavyweight,Andrei Arlovski,4
16119,2015-11-09,Heavyweight,Travis Browne,5
16120,2015-11-09,Heavyweight,Josh Barnett,6
16121,2015-11-09,Heavyweight,Ben Rothwell,7
16122,2015-11-09,Heavyweight,Mark Hunt,8
16123,2015-11-09,Heavyweight,Alistair Overeem,9
16124,2015-11-09,Heavyweight,Frank Mir,10
16125,2015-11-09,Heavyweight,Antonio Silva,11
16126,2015-11-09,Heavyweight,Roy Nelson,12
16127,2015-11-09,Heavyweight,Matt Mitrione,13
16128,2015-11-09,Heavyweight,Stefan Struve,14
16129,2015-11-09,Heavyweight,Aleksei Oleinik,15
16289,2015-11-16,Heavyweight,Fabricio Werdum,0
16290,2015-11-16,Heavyweight,Cain Velasquez,1
16291,2015-11-16,Heavyweight,Junior Dos Santos,2
16292,2015-11-16,Heavyweight,Stipe Miocic,3
16293,2015-11-16,Heavyweight,Andrei Arlovski,4
16294,2015-11-16,Heavyweight,Travis Browne,5
16295,2015-11-16,Heavyweight,Josh Barnett,6
16296,2015-11-16,Heavyweight,Mark Hunt,7
16297,2015-11-16,Heavyweight,Ben Rothwell,8
16298,2015-11-16,Heavyweight,Alistair Overeem,9
16299,2015-11-16,Heavyweight,Frank Mir,10
16300,2015-11-16,Heavyweight,Roy Nelson,11
16301,2015-11-16,Heavyweight,Antonio Silva,12
16302,2015-11-16,Heavyweight,Matt Mitrione,13
16303,2015-11-16,Heavyweight,Jared Rosholt,14
16304,2015-11-16,Heavyweight,Aleksei Oleinik,15
16464,2015-11-23,Heavyweight,Fabricio Werdum,0
16465,2015-11-23,Heavyweight,Cain Velasquez,1
16466,2015-11-23,Heavyweight,Junior Dos Santos,2
16467,2015-11-23,Heavyweight,Stipe Miocic,3
16468,2015-11-23,Heavyweight,Andrei Arlovski,4
16469,2015-11-23,Heavyweight,Travis Browne,5
16470,2015-11-23,Heavyweight,Josh Barnett,6
16471,2015-11-23,Heavyweight,Mark Hunt,7
16472,2015-11-23,Heavyweight,Ben Rothwell,8
16473,2015-11-23,Heavyweight,Alistair Overeem,9
16474,2015-11-23,Heavyweight,Frank Mir,10
16475,2015-11-23,Heavyweight,Roy Nelson,11
16476,2015-11-23,Heavyweight,Antonio Silva,12
16477,2015-11-23,Heavyweight,Matt Mitrione,13
16478,2015-11-23,Heavyweight,Jared Rosholt,14
16479,2015-11-23,Heavyweight,Aleksei Oleinik,15
16639,2015-11-30,Heavyweight,Fabricio Werdum,0
16640,2015-11-30,Heavyweight,Cain Velasquez,1
16641,2015-11-30,Heavyweight,Junior Dos Santos,2
16642,2015-11-30,Heavyweight,Stipe Miocic,3
16643,2015-11-30,Heavyweight,Andrei Arlovski,4
16644,2015-11-30,Heavyweight,Travis Browne,5
16645,2015-11-30,Heavyweight,Josh Barnett,6
16646,2015-11-30,Heavyweight,Mark Hunt,7
16647,2015-11-30,Heavyweight,Ben Rothwell,8
16648,2015-11-30,Heavyweight,Alistair Overeem,9
16649,2015-11-30,Heavyweight,Frank Mir,10
16650,2015-11-30,Heavyweight,Roy Nelson,11
16651,2015-11-30,Heavyweight,Antonio Silva,12
16652,2015-11-30,Heavyweight,Matt Mitrione,13
16653,2015-11-30,Heavyweight,Jared Rosholt,14
16654,2015-11-30,Heavyweight,Aleksei Oleinik,15
16814,2015-12-14,Heavyweight,Fabricio Werdum,0
16815,2015-12-14,Heavyweight,Cain Velasquez,1
16816,2015-12-14,Heavyweight,Junior Dos Santos,2
16817,2015-12-14,Heavyweight,Stipe Miocic,3
16818,2015-12-14,Heavyweight,Andrei Arlovski,4
16819,2015-12-14,Heavyweight,Travis Browne,5
16820,2015-12-14,Heavyweight,Josh Barnett,6
16821,2015-12-14,Heavyweight,Mark Hunt,7
16822,2015-12-14,Heavyweight,Ben Rothwell,8
16823,2015-12-14,Heavyweight,Alistair Overeem,9
16824,2015-12-14,Heavyweight,Frank Mir,10
16825,2015-12-14,Heavyweight,Roy Nelson,11
16826,2015-12-14,Heavyweight,Antonio Silva,12
16827,2015-12-14,Heavyweight,Jared Rosholt,13
16828,2015-12-14,Heavyweight,Matt Mitrione,13
16829,2015-12-14,Heavyweight,Aleksei Oleinik,15
16989,2015-12-21,Heavyweight,Fabricio Werdum,0
16990,2015-12-21,Heavyweight,Cain Velasquez,1
16991,2015-12-21,Heavyweight,Andrei Arlovski,2
16992,2015-12-21,Heavyweight,Stipe Miocic,3
16993,2015-12-21,Heavyweight,Junior Dos Santos,4
16994,2015-12-21,Heavyweight,Alistair Overeem,5
16995,2015-12-21,Heavyweight,Travis Browne,6
16996,2015-12-21,Heavyweight,Josh Barnett,7
16997,2015-12-21,Heavyweight,Ben Rothwell,8
16998,2015-12-21,Heavyweight,Mark Hunt,9
16999,2015-12-21,Heavyweight,Frank Mir,10
17000,2015-12-21,Heavyweight,Roy Nelson,11
17001,2015-12-21,Heavyweight,Antonio Silva,12
17002,2015-12-21,Heavyweight,Jared Rosholt,13
17003,2015-12-21,Heavyweight,Matt Mitrione,14
17004,2015-12-21,Heavyweight,Aleksei Oleinik,15
17164,2016-01-04,Heavyweight,Fabricio Werdum,0
17165,2016-01-04,Heavyweight,Cain Velasquez,1
17166,2016-01-04,Heavyweight,Stipe Miocic,2
17167,2016-01-04,Heavyweight,Alistair Overeem,3
17168,2016-01-04,Heavyweight,Andrei Arlovski,3
17169,2016-01-04,Heavyweight,Junior Dos Santos,5
17170,2016-01-04,Heavyweight,Travis Browne,6
17171,2016-01-04,Heavyweight,Ben Rothwell,7
17172,2016-01-04,Heavyweight,Josh Barnett,8
17173,2016-01-04,Heavyweight,Mark Hunt,9
17174,2016-01-04,Heavyweight,Frank Mir,10
17175,2016-01-04,Heavyweight,Roy Nelson,11
17176,2016-01-04,Heavyweight,Jared Rosholt,12
17177,2016-01-04,Heavyweight,Antonio Silva,13
17178,2016-01-04,Heavyweight,Matt Mitrione,14
17179,2016-01-04,Heavyweight,Aleksei Oleinik,15
17339,2016-01-19,Heavyweight,Fabricio Werdum,0
17340,2016-01-19,Heavyweight,Cain Velasquez,1
17341,2016-01-19,Heavyweight,Stipe Miocic,2
17342,2016-01-19,Heavyweight,Alistair Overeem,3
17343,2016-01-19,Heavyweight,Andrei Arlovski,4
17344,2016-01-19,Heavyweight,Junior Dos Santos,5
17345,2016-01-19,Heavyweight,Travis Browne,6
17346,2016-01-19,Heavyweight,Ben Rothwell,7
17347,2016-01-19,Heavyweight,Josh Barnett,8
17348,2016-01-19,Heavyweight,Mark Hunt,9
17349,2016-01-19,Heavyweight,Frank Mir,10
17350,2016-01-19,Heavyweight,Roy Nelson,11
17351,2016-01-19,Heavyweight,Jared Rosholt,12
17352,2016-01-19,Heavyweight,Antonio Silva,13
17353,2016-01-19,Heavyweight,Matt Mitrione,14
17354,2016-01-19,Heavyweight,Aleksei Oleinik,15
17514,2016-02-01,Heavyweight,Fabricio Werdum,0
17515,2016-02-01,Heavyweight,Cain Velasquez,1
17516,2016-02-01,Heavyweight,Stipe Miocic,2
17517,2016-02-01,Heavyweight,Alistair Overeem,3
17518,2016-02-01,Heavyweight,Andrei Arlovski,4
17519,2016-02-01,Heavyweight,Ben Rothwell,5
17520,2016-02-01,Heavyweight,Junior Dos Santos,6
17521,2016-02-01,Heavyweight,Travis Browne,7
17522,2016-02-01,Heavyweight,Mark Hunt,8
17523,2016-02-01,Heavyweight,Josh Barnett,9
17524,2016-02-01,Heavyweight,Frank Mir,10
17525,2016-02-01,Heavyweight,Roy Nelson,11
17526,2016-02-01,Heavyweight,Jared Rosholt,12
17527,2016-02-01,Heavyweight,Antonio Silva,13
17528,2016-02-01,Heavyweight,Matt Mitrione,14
17529,2016-02-01,Heavyweight,Aleksei Oleinik,15
17689,2016-02-08,Heavyweight,Fabricio Werdum,0
17690,2016-02-08,Heavyweight,Cain Velasquez,1
17691,2016-02-08,Heavyweight,Stipe Miocic,2
17692,2016-02-08,Heavyweight,Alistair Overeem,3
17693,2016-02-08,Heavyweight,Ben Rothwell,4
17694,2016-02-08,Heavyweight,Andrei Arlovski,5
17695,2016-02-08,Heavyweight,Junior Dos Santos,5
17696,2016-02-08,Heavyweight,Travis Browne,7
17697,2016-02-08,Heavyweight,Josh Barnett,8
17698,2016-02-08,Heavyweight,Mark Hunt,9
17699,2016-02-08,Heavyweight,Frank Mir,10
17700,2016-02-08,Heavyweight,Roy Nelson,11
17701,2016-02-08,Heavyweight,Antonio Silva,12
17702,2016-02-08,Heavyweight,Matt Mitrione,13
17703,2016-02-08,Heavyweight,Aleksei Oleinik,14
17704,2016-02-08,Heavyweight,Jared Rosholt,15
17864,2016-02-23,Heavyweight,Fabricio Werdum,0
17865,2016-02-23,Heavyweight,Cain Velasquez,1
17866,2016-02-23,Heavyweight,Stipe Miocic,2
17867,2016-02-23,Heavyweight,Alistair Overeem,3
17868,2016-02-23,Heavyweight,Ben Rothwell,4
17869,2016-02-23,Heavyweight,Junior Dos Santos,5
17870,2016-02-23,Heavyweight,Andrei Arlovski,6
17871,2016-02-23,Heavyweight,Travis Browne,7
17872,2016-02-23,Heavyweight,Josh Barnett,8
17873,2016-02-23,Heavyweight,Mark Hunt,9
17874,2016-02-23,Heavyweight,Frank Mir,10
17875,2016-02-23,Heavyweight,Roy Nelson,11
17876,2016-02-23,Heavyweight,Antonio Silva,12
17877,2016-02-23,Heavyweight,Matt Mitrione,13
17878,2016-02-23,Heavyweight,Aleksei Oleinik,14
17879,2016-02-23,Heavyweight,Ruslan Magomedov,15
18039,2016-02-29,Heavyweight,Fabricio Werdum,0
